range_id,component_id,sex,unit_id,lower_limit,upper_limit
1,1,1,1,3.5,10.5
2,1,2,1,3.5,10.5
3,2,1,2,13.8,17.2
4,2,2,2,12.1,15.1
5,3,1,3,4.7,6.1
6,3,2,3,4.2,5.4
7,4,1,4,40.7,50.3
8,4,2,4,36.1,44.3
9,5,1,5,80,100
10,5,2,5,80,100
11,6,1,6,27,31
12,6,2,6,27,31
13,7,1,2,32,36
14,7,2,2,32,36
15,8,1,4,11.7,15.6
16,8,2,4,11.9,15.5
17,9,1,1,150,450
18,9,2,1,150,450
19,10,1,7,0.27,4.2
20,10,2,7,0.27,4.2
21,11,1,8,12,22
22,11,2,8,12,22
23,12,1,8,3.1,6.8
24,12,2,8,3.1,6.8
25,13,1,9,30,50
26,13,2,9,30,50
27,14,1,10,0,21
28,14,2,10,0,21
29,15,1,11,30,130
30,15,2,11,30,130
31,16,1,11,9,51
32,16,2,11,8,41
33,17,1,12,2.5,7.8
34,17,2,12,2.5,7.8
35,18,1,12,133,146
36,18,2,12,133,146
37,19,1,12,3.5,5.3
38,19,2,12,3.5,5.3
39,20,1,10,59,104
40,20,2,10,45,84
41,21,1,12,2.2,2.6
42,21,2,12,2.2,2.6
43,22,1,12,0.8,1.5
44,22,2,12,0.8,1.5
45,23,1,9,35,50
46,23,2,9,35,50
47,24,1,11,30,130
48,24,2,11,30,130
49,25,1,12,0,5
50,25,2,12,0,5
51,26,1,12,0,1.7
52,26,2,12,0,1.7
53,27,1,12,1.55,1000
54,27,2,12,1.55,1000
55,28,1,12,0,1.8
56,28,2,12,0,1.8